titulo;categoria;macrocategoria;disponibles;precio_original;precio_oferta;porcentaje_descuento;autor;editorial;encuadernacion;peso_kg;largo;ancho;grosor;ano_edicion;paginas;descripcion;link;fecha_extraccion;volumen
maldito azucar;salud y dietas;hogar y familia;5;17000,0;16150,0;0,05;bravo, victor;grijalbo;rustico;0,34;21,0;14,0;2,0;2025,0;304,0;MALDITO AZUCAREl libro para perder peso, controlar la glucosa y evitar la diabetes, sin dietas ni restricciones.La diabetes y la obesidad son patologías que están creciendo a un ritmo bestial en los últimos años.La salud, los buenos niveles de glucosa y un peso (composición corporal) adecuados no tocan en la lotería. Al revés, se ganan día a día. Este libro ofrece (por fin) la metodología que sí da resultados de verdad para perder peso y controlar los niveles de glucosa sin tener que hacer dietas raras.El libro repasa qué es el azúcar, cómo influye en nuestra salud, explica qué es la diabetes y cómo se genera la resistencia a la insulina, y por qué comer poco o salir a caminar no funcionan. El Dr. Víctor Bravo ofrece además un plan con 4 hábitos básicos y 11 reglas de oro que permitirán al lector perder peso y controlar la glucosa, sin restricciones ni dietas milagrosas.AdquieraMALDITO AZUCARen nuestros locales y en nuestra tienda virtual.No olvide aprovechar nuestras grandes promociones en este enlace deOfertasSíguenos en nuestras redes socialesInstagram,FacebookyTwitter.;https://feriachilenadellibro.cl/producto/9788425369117-maldito-azucar/;2025-08-24;588,0
juegos del hambre 4 - balada de pajaros cantores y serpientes (edicion especial);ficcion juvenil;libros juveniles;7;33000,0;31350,0;0,05;collins, suzanne;molino;tapa dura;0,85;24,0;16,0;4,0;2025,0;592,0;JUEGOS DEL HAMBRE 4 – BALADA DE PAJAROS CANTORES Y SERPIENTES (EDICION ESPECIAL)Redescubre la historia de Katniss Everdeen en estas ediciones especiales de Los Juegos del Hambre.Es la mañana de la cosecha, que dará comienzo a los décimos Juegos del Hambre. En el Capitolio, Coriolanus Snow, de dieciocho años, se prepara para una oportunidad única: alcanzar la gloria como mentor de los Juegos. La casa de los Snow, antes tan influyente, atraviesa tiempos difíciles, y su destino depende de que Coriolanus consiga superar a sus compañeros en ingenio, estrategia y encanto como mentor del tributo que le sea adjudicado. Todo está en su contra…AdquieraJUEGOS DEL HAMBRE 4 – BALADA DE PAJAROS CANTORES Y SERPIENTES (EDICION ESPECIAL)en nuestros locales y en nuestra tienda virtual.No olvide aprovechar nuestras grandes promociones en este enlace deOfertasSíguenos en nuestras redes socialesInstagram,FacebookyTwitter.;https://feriachilenadellibro.cl/producto/9788427248496-juegos-del-hambre-4-balada-de-pajaros-cantores-y-serpientes-edicion-especial/;2025-08-24;1536,0
los juegos del hambre 3 - sinsajo (edicion especial);ficcion juvenil;libros juveniles;7;30000,0;28500,0;0,05;collins, suzanne;molino;tapa dura;0,67;24,0;16,0;3,0;2025,0;432,0;LOS JUEGOS DEL HAMBRE 3 – SINSAJO (EDICION ESPECIAL)Redescubre la historia de Katniss Everdeen en estas ediciones especiales de Los Juegos del Hambre.Katniss Everdeen ha sobrevivido dos veces a los Juegos del Hambre, pero no está a salvo. La revolución se extiende y, al parecer, todos han tenido algo que ver en el meticuloso plan, todos excepto Katniss. Aun así, su papel en la batalla final es el más importante de todos. Katniss debe convertirse en el Sinsajo, en el símbolo de la rebelión… a cualquier precio.AdquieraLOS JUEGOS DEL HAMBRE 3 – SINSAJO (EDICION ESPECIAL)en nuestros locales y en nuestra tienda virtual.No olvide aprovechar nuestras grandes promociones en este enlace deOfertasSíguenos en nuestras redes socialesInstagram,FacebookyTwitter.;https://feriachilenadellibro.cl/producto/9788427248489-los-juegos-del-hambre-3-sinsajo-edicion-especial/;2025-08-24;1152,0
los juegos del hambre 2 - en llamas (edicion especial);ficcion juvenil;libros juveniles;7;30000,0;28500,0;0,05;collins, suzanne;molino;tapa dura;0,67;24,0;16,0;3,0;2025,0;416,0;LOS JUEGOS DEL HAMBRE 2 – EN LLAMAS (EDICION ESPECIAL)Redescubre la historia de Katniss Everdeen en estas ediciones especiales de Los Juegos del Hambre.Katniss Everdeen ha sobrevivido a Los Juegos del Hambre. Pero el Capitolio quiere venganza. Contra todo pronóstico, Katniss Everdeen y Peeta Mellark siguen vivos. Aunque Katniss debería sentirse aliviada, se rumorea que existe una rebelión contra el Capitolio, una rebelión que puede que Katniss y Peeta hayan ayudado a inspirar. La nación los observa y hay mucho en juego. Un movimiento en falso y las consecuencias serán inimaginables.AdquieraLOS JUEGOS DEL HAMBRE 2 – EN LLAMAS (EDICION ESPECIAL)en nuestros locales y en nuestra tienda virtual.No olvide aprovechar nuestras grandes promociones en este enlace deOfertasSíguenos en nuestras redes socialesInstagram,FacebookyTwitter.;https://feriachilenadellibro.cl/producto/9788427248472-los-juegos-del-hambre-2-en-llamas-edicion-especial/;2025-08-24;1152,0
los juegos del hambre 1. los juegos del hambre (ed. especial);ficcion juvenil;libros juveniles;10;30000,0;28500,0;0,05;collins, suzanne;molino;tapa dura;0,67;24,0;16,0;3,0;2025,0;400,0;LOS JUEGOS DEL HAMBRE 1. LOS JUEGOS DEL HAMBRE (ED. ESPECIAL)Redescubre la historia de Katniss Everdeen en estas ediciones especiales de Los Juegos del Hambre.En una oscura versión del futuro próximo, doce chicos y doce chicas se ven obligados a participar en un reality show llamado Los Juegos del Hambre. Solo hay una regla: matar o morir.Cuando Katniss Everdeen, una joven de dieciséis años se presenta voluntaria para ocupar el lugar de su hermana en los juegos, lo entiende como una condena a muerte. Sin embargo, Katniss ya ha visto la muerte de cerca y la supervivencia forma parte de su naturaleza.AdquieraLOS JUEGOS DEL HAMBRE 1. LOS JUEGOS DEL HAMBRE (ED. ESPECIAL)en nuestros locales y en nuestra tienda virtual.No olvide aprovechar nuestras grandes promociones en este enlace deOfertasSíguenos en nuestras redes socialesInstagram,FacebookyTwitter.;https://feriachilenadellibro.cl/producto/9788427248465-los-juegos-del-hambre-1-los-juegos-del-hambre-ed-especial/;2025-08-24;1152,0
el mesias de dune (deluxe ed. limitada);ciencia ficcion;literatura ciencia ficcion;4;25000,0;23750,0;0,05;herbert, frank;debolsillo;tapa dura;0,42;22,0;15,0;2,5;2025,0;304,0;EL MESIAS DE DUNE (DELUXE ED. LIMITADA)El mesías de Dune es la segunda entrega de la excepcional saga de Frank Herbert «Dune», considerada la mejor serie de ciencia ficción de todos los tiempos.Arrakis, también llamado Dune: un mundo desierto en pos del sueño de convertirse en un paraíso, cuna de mil guerras que se han extendido por todo el universo y de un anhelo mesiánico que intenta alcanzar el sueño más antiguo de la humanidad…Paul Atreides: un personaje mítico, perturbado por la cercana presencia de una sombra dominante: su hermana Alia. Y frente a ellos, los grandes intereses económicos, políticos y religiosos que sacuden los espacios interestelares: la CHOAM, la Cofradía espacial, el Landsraad, la Bene Gesserit…Todo ello, y mucho más, conforma esta segunda entrega de «Dune»: un fresco impresionante y una obra cumbre de la imaginación.AdquieraEL MESIAS DE DUNE (DELUXE ED. LIMITADA)en nuestros locales y en nuestra tienda virtual.No olvide aprovechar nuestras grandes promociones en este enlace deOfertasSíguenos en nuestras redes socialesInstagram,FacebookyTwitter.;https://feriachilenadellibro.cl/producto/9788466372015-el-mesias-de-dune-deluxe-ed-limitada/;2025-08-24;825,0
pinera en jaque;investigacion periodistica;ciencias sociales;14;19500,0;18530,0;0,05;catena, paula / faundez, gloria;catalonia;rustico;0,3;23,0;15,0;1,5;2025,0;256,0;PIÑERA EN JAQUEFue en los primeros días del estallido social. El último anillo de seguridad de La Moneda estuvo dos veces a punto de caer. Ante el peligro de que una muchedumbre irrumpiera en el corazón de la República, un helicóptero se instaló en la azotea de la Cancillería, a metros del palacio, para evacuar al presidente Sebastián Piñera si era preciso. En el búnker de La Moneda se montaron tres dispositivos de escape, uno de ellos con una ambulancia, para salir en cualquier momento.Pero Piñera, quien a raíz de la crisis estaría abatido y errático por semanas, no quería saber de evacuaciones. “¡No voy a arrancar de La Moneda!”, le espetaba a su escolta.Hasta que el acuerdo por una nueva Constitución y, sobre todo, el avance de la pandemia del Covid-19 le dieron una tregua y recuperó su capacidad de decisión.Gracias a entrevistas con más de un centenar de autoridades, funcionarios y asesores de esa administración, además de líderes de la entonces oposición a Piñera, este libro narra en detalle cómo su segundo gobierno logró sortear, internamente fracturado entre “Halcones” y “Palomas”, dos de las peores crisis de nuestra historia reciente.Un relato apasionante y desde el corazón del poder, investigado por dos periodistas que cubrieron los hechos para el diario La Tercera y luego volvieron a hablar con protagonistas y testigos.Reconstruyendo escenas y diálogos inéditos, sus autoras describen cómo Piñera tomó las decisiones clave de sus últimos siete años de vida, desde que aceptó su segundo desafío presidencial en 2017, hasta su muerte en febrero de 2024, cuando no se cerraba a un tercer mandato.AdquieraPIÑERA EN JAQUEen nuestros locales y en nuestra tienda virtual.No olvide aprovechar nuestras grandes promociones en este enlace deOfertasSíguenos en nuestras redes socialesInstagram,FacebookyTwitter.;https://feriachilenadellibro.cl/producto/9789564151632-pinera-en-jaque/;2025-08-24;517,5
libertad o tirania;politica;politica;3;20900,0;14900,0;0,29;martin jimenez, cristina;martinez roca;rustico;0,435;23,0;15,0;1,0;2024,0;352,0;LIBERTAD O TIRANIAEn septiembre de 2015, más de ciento cincuenta jefes de Estado y de Gobierno se reunieron en la histórica Cumbre del Desarrollo Sostenible para aprobar la Agenda 2030, que consta de diecisiete objetivos de aplicación universal cuyo fin es lograr un mundo sostenible en 2030. Ahora bien, ¿esto es así? ¿Es verdad lo que nos han contado los medios? ¿Se oculta algo extraño tras este buenismo que piensa en el bienestar de la humanidad y en conseguir un mundo más igualitario y saludable? ¿Quién está realmente detrás de esta Agenda, y qué intereses espurios tiene? Cristina Martín defiende en este libro que la Agenda 2030 es una mera campaña propagandística universal dirigida a sugestionar a todas las personas del planeta y a perseguir a la gente que se rebela contra el statu quo establecido. Si bien los principios en los que se basa la Agenda son lícitos y razonables, esta obra diferencia claramente el mensaje de la intención que oculta. Para la autora lo que nos cuentan sobre la Agenda es pura propaganda, una campaña de comunicación internacional cuyo fin es vendernos un futuro mejor para todos. Sin embargo, su verdadero sentido es que ese «futuro mejor» solo lo será para unos pocos: la élite que financia la Agenda y la alienta con mentiras.AdquieraLIBERTAD O TIRANIAen nuestros locales y en nuestra tienda virtual.No olvide aprovechar nuestras grandes promociones en este enlace deOfertasSíguenos en nuestras redes socialesInstagram,FacebookyTwitter.;https://feriachilenadellibro.cl/producto/9789569995651-libertad-o-tirania/;2025-08-24;345,0
grandes britanicos en chile;biografias en general;ensayos y biografias;4;22000,0;20900,0;0,05;pinto ferrada, anibal;el mercurio;rustico;0,485;23,0;15,0;2,0;2025,0;392,0;GRANDES BRITANICOS EN CHILEEs sin duda, el espíritu aventurero que define a los británicos lo que lleva a estos siete personajes a cruzar los océanos, durante el siglo XIX, para descubrir, investigar, enseñar y compartir sus conocimientos. En todos ellos, Thomas Cochrane, María Graham, Charles Darwin, Peter Mackay, James Humberstone, Thomas Somerscales, Ernest Shackleton, hay una curiosidad inagotable que los trae al fin del mundo. Lo que permite conectar a Chile con lo mejor de una sociedad que se encontraba en su apogeo. Tras un exhaustivo y riguroso proceso investigativo, que reunió los más diversos antecedentes, el autor consigue un relato fascinante, en el que se plasma el carácter de estos grandes británicos, y de paso, describe una crónica de momentos decisivos de nuestra propia historia y de sus principales protagonistas (O’Higgins, Prat, piloto Pardo).AdquieraGRANDES BRITANICOS EN CHILEen nuestros locales y en nuestra tienda virtual.No olvide aprovechar nuestras grandes promociones en este enlace deOfertasSíguenos en nuestras redes socialesInstagram,FacebookyTwitter.;https://feriachilenadellibro.cl/producto/9789566260271-grandes-britanicos-en-chile/;2025-08-24;690,0
vindicacion de los derechos de la mujer;feminismo y mujer;ciencias sociales;9;11000,0;8250,0;0,25;wollstonecraft, mary;penguin clasicos;rustico/bolsillo;0,174;19,0;12,5;1,1;2023,0;168,0;VINDICACION DE LOS DERECHOS DE LA MUJERLa obra que puso las bases del feminismo moderno.El término feminismo no existía cuando Mary Wollstonecraft escribió este libro, que fue, sin embargo, la primera gran obra de la literatura feminista. En una época en la que la defensa de los derechos humanos había llevado la revolución a América y a Francia, Mary Wollstonecraft produjo su propia declaración de independencia en 1792. Vindicación de los derechos de la mujer atacó la idea dominante de una feminidad dócil y decorativa, y sentó los principios de la emancipación femenina.En estas páginas encontrarás la esencia de sus ideas, a favor de la educación de las mujeres y de su contribución a la sociedad. Racionalista y revolucionaria a la vez, y sin más poder que su pluma, Mary Wollstonecraft puso en marcha el movimiento que cambiaría el mundo para siempre y que, más de dos siglos después, continúa transformándolo.Prólogo de NURIA VARELA Traducción de MARTA LOIS GONZÁLEZ.AdquieraVINDICACION DE LOS DERECHOS DE LA MUJERen nuestros locales y en nuestra tienda virtual.No olvide aprovechar nuestras grandes promociones en este enlace deOfertasSíguenos en nuestras redes socialesInstagram,FacebookyTwitter.;https://feriachilenadellibro.cl/producto/9789569687488-vindicacion-de-los-derechos-de-la-mujer/;2025-08-24;261,25
