titulo;categoria;macrocategoria;disponibles;precio_original;precio_oferta;porcentaje_descuento;autor;editorial;encuadernacion;peso_kg;largo;ancho;grosor;ano_edicion;paginas;descripcion;link;volumen
grandes britanicos en chile;biografias en general;ensayos y biografias;4;22000,0;20900,0;0,05;pinto ferrada, anibal;el mercurio;rustico;0,485;23,0;15,0;2,0;2025,0;392,0;GRANDES BRITANICOS EN CHILEEs sin duda, el espíritu aventurero que define a los británicos lo que lleva a estos siete personajes a cruzar los océanos, durante el siglo XIX, para descubrir, investigar, enseñar y compartir sus conocimientos. En todos ellos, Thomas Cochrane, María Graham, Charles Darwin, Peter Mackay, James Humberstone, Thomas Somerscales, Ernest Shackleton, hay una curiosidad inagotable que los trae al fin del mundo. Lo que permite conectar a Chile con lo mejor de una sociedad que se encontraba en su apogeo. Tras un exhaustivo y riguroso proceso investigativo, que reunió los más diversos antecedentes, el autor consigue un relato fascinante, en el que se plasma el carácter de estos grandes británicos, y de paso, describe una crónica de momentos decisivos de nuestra propia historia y de sus principales protagonistas (O’Higgins, Prat, piloto Pardo).AdquieraGRANDES BRITANICOS EN CHILEen nuestros locales y en nuestra tienda virtual.No olvide aprovechar nuestras grandes promociones en este enlace deOfertasSíguenos en nuestras redes socialesInstagram,FacebookyTwitter.;https://feriachilenadellibro.cl/producto/9789566260271-grandes-britanicos-en-chile/;690,0
meditaciones de gato aurelio;filosofia;filosofia;4;17900,0;14300,0;0,2;pictoline;planeta editorial;rustico;0,269;23,0;16,0;1,0;2025,0;168,0;MEDITACIONES DE GATO AURELIOLa Pictoline version, 100% ilustrada y para el siglo XXI, del gran clásico del estoicismo: Meditaciones, de Marco Aurelio.Descubre, de la mano (o mejor dicho: patita) del adorable Gato Aurelio, cómo controlar tus prejuicios, juicios y reacciones, a ver cada cotratiempo como oportunidad y a aprender a precurar lo que de verdad importa para ser feliz.Para gatitos y gatitas estoicas.AdquieraMEDITACIONES DE GATO AURELIOen nuestros locales y en nuestra tienda virtual.No olvide aprovechar nuestras grandes promociones en este enlace deOfertasSíguenos en nuestras redes socialesInstagram,FacebookyTwitter.;https://feriachilenadellibro.cl/producto/9786287779853-meditaciones-de-gato-aurelio/;368,0
vindicacion de los derechos de la mujer;feminismo y mujer;ciencias sociales;9;11000,0;8250,0;0,25;wollstonecraft, mary;penguin clasicos;rustico/bolsillo;0,174;19,0;12,5;1,1;2023,0;168,0;VINDICACION DE LOS DERECHOS DE LA MUJERLa obra que puso las bases del feminismo moderno.El término feminismo no existía cuando Mary Wollstonecraft escribió este libro, que fue, sin embargo, la primera gran obra de la literatura feminista. En una época en la que la defensa de los derechos humanos había llevado la revolución a América y a Francia, Mary Wollstonecraft produjo su propia declaración de independencia en 1792. Vindicación de los derechos de la mujer atacó la idea dominante de una feminidad dócil y decorativa, y sentó los principios de la emancipación femenina.En estas páginas encontrarás la esencia de sus ideas, a favor de la educación de las mujeres y de su contribución a la sociedad. Racionalista y revolucionaria a la vez, y sin más poder que su pluma, Mary Wollstonecraft puso en marcha el movimiento que cambiaría el mundo para siempre y que, más de dos siglos después, continúa transformándolo.Prólogo de NURIA VARELA Traducción de MARTA LOIS GONZÁLEZ.AdquieraVINDICACION DE LOS DERECHOS DE LA MUJERen nuestros locales y en nuestra tienda virtual.No olvide aprovechar nuestras grandes promociones en este enlace deOfertasSíguenos en nuestras redes socialesInstagram,FacebookyTwitter.;https://feriachilenadellibro.cl/producto/9789569687488-vindicacion-de-los-derechos-de-la-mujer/;261,25
todos los cuentos;narrativa latinoamericana;literatura narrativa latinoamericana;10;14000,0;10500,0;0,25;garcia marquez, gabriel;debolsillo;rustico/bolsillo;0,356;19,0;12,5;2,8;2019,0;528,0;TODOS LOS CUENTOSEl lector encontrará los relatos tempranos de García Márquez recogidos bajo el título Ojos de perro azul, donde se incluye «Monólogo de Isabel viendo llover en Macondo», célebre texto que puso los cimientos del gigantesco edificio, tan imaginario como real, de lo que acabaría siendo el espacio literario más poderoso de las letras universales de nuestro tiempo: Macondo. Con Macondo se inauguraron los años del realismo mágico y de los personajes inmersos en el mundo denso y frutal del Caribe americano. De esta etapa, en plena madurez del autor, son sus siguientes libros de cuentos: Los funerales de la Mamá Grande, donde se narran las fastuosas exequias de la auténtica soberana de Macondo, y La increíble y triste historia de la cándida Eréndira y de su abuela desalmada. Los relatos más recientes, los Doce cuentos peregrinos, trasladan el escenario a la vieja Europa para hablarnos de la suerte de los latinoamericanos emigrados, de su melancolía y su tenacidad.Cuarenta y un relatos imprescindibles que recorren la trayectoria del autor de Cien años de soledad y que constituyen un impresionante legado para la literatura universal.«Entonces me miró. Yo creía que me miraba por primera vez. Pero luego, cuando dio la vuelta por detrás del velador y yo seguía sintiendo sobre el hombro, a mis espaldas, su resbaladiza y oleosa mirada, comprendí que era yo quien la miraba por primera vez.»AdquieraTODOS LOS CUENTOSen nuestros locales y en nuestra tienda virtual.No olvide aprovechar nuestras grandes promociones en este enlace deOfertasSíguenos en nuestras redes socialesInstagram,FacebookyTwitter.;https://feriachilenadellibro.cl/producto/9789585454682-todos-los-cuentos/;665,0
miedo liquido;sociologia;ciencias sociales;3;20900,0;16700,0;0,2;bauman, zygmunt;paidos;rustico;0,325;21,0;13,5;1,0;2023,0;304,0;MIEDO LIQUIDOCon este libro, Bauman, uno de los sociólogos europeos más influyentes de los últimos tiempos, analiza en profundidad uno de los grandes temas del siglo XXI: el miedo.Hasta ahora se creía que la modernidad iba a ser aquel período de la historia humana en el que, por fin, quedarían atrás los temores que atenazaban la vida social del pasado, y los seres humanos podríamos controlar nuestras vidas y dominar las imprevisibles fuerzas del mundo social y natural. Y, en cambio, volvemos a vivir una época de miedo.Tanto si nos referimos al miedo a las catástrofes naturales y medioambientales, o al miedo a los atentados terroristas indiscriminados, en la actualidad experimentamos una ansiedad constante por los peligros que pueden azotarnos sin previo aviso y en cualquier momento. «Miedo» es el término que empleamos para describir la incertidumbre que caracteriza nuestra era moderna líquida, nuestra ignorancia sobre la amenaza concreta que se cierne sobre nosotros y nuestra incapacidad para determinar qué podemos hacer (y qué no) para contrarrestarla.En esta obra ya clásica, Zygmunt Bauman —uno de los pensadores sociales más influyentes de nuestra época— nos presenta un inventario exhaustivo de los temores de la modernidad líquida y nos explica cómo podemos desactivarlos o hacer que se vuelvan inofensivos.AdquieraMIEDO LIQUIDOen nuestros locales y en nuestra tienda virtual.No olvide aprovechar nuestras grandes promociones en este enlace deOfertasSíguenos en nuestras redes socialesInstagram,FacebookyTwitter.;https://feriachilenadellibro.cl/producto/9789566195597-miedo-liquido/;283,5
los perros y los lobos;contemporanea;literatura contemporanea;3;13000,0;9750,0;0,25;nemirovsky, irene;salamandra bolsillo;rustico/bolsillo;0,221;20,5;13,0;1,0;2013,0;224,0;LOS PERROS Y LOS LOBOSTeñida de marcados ecos autobiográficos, la novela se construye con retazos de la infancia y del exilio, la crisis de identidad, las historias de amor, todo sujeto a los azarosos caprichos del destino.Publicada por primera vez en 1940 -año en que Irène Némirovsky huyó de París en compañía de su marido y sus dos pequeñas hijas para refugiarse en un pueblo de la Borgoña-, ésta es la última obra que la autora de la magistral Suite francesa publicó en vida, dos años antes de su deportación y asesinato en Auschwitz.Aday Harry Sinner, parientes lejanos, son dos jóvenes judíos procedentes de niveles sociales muy distintos a quienes un recuerdo infantil ha dejado una huella imborrable en sus vidas. Ada abandonó Ucrania poco antes de la revolución bolchevique, se ha casado con su primo Ben y lucha por abrirse camino como pintora. Harry, por su parte, ha contraído matrimonio con una joven francesa, hermosa, rica y católica, y se mueve en el mundo de las altas finanzas. Pero la fascinación que siente al contemplar dos cuadros de Ada en un escaparate lo llevan a recordar el mundo que ambos han dejado atrás.Con su destreza habitual para el retrato psicológico, Némirovsky delinea con claridad el torbellino de sentimientos de un clásico triángulo amoroso. Al hilo de los apasionados personajes, el relato transporta al lector desde Ucrania hasta el París de los años veinte, y la tensión narrativa crece sin cesar hasta la conclusión del relato.AdquieraLOS PERROS Y LOS LOBOSen nuestros locales y en nuestra tienda virtual.No olvide aprovechar nuestras grandes promociones en este enlace deOfertasSíguenos en nuestras redes socialesInstagram,FacebookyTwitter.;https://feriachilenadellibro.cl/producto/9788498384703-los-perros-y-los-lobos/;266,5
la sombra;thrillers;literatura thrillers;5;14000,0;10500,0;0,25;katzenbach, john;b de bolsillo;rustico/bolsillo;0,321;19,0;12,5;2,7;2011,0;456,0;LA SOMBRAEn el Miami de finales del siglo XX, la deprimente vida de Simon Winter – retirado de la Brigada de Homicidios de la Policía- da un giro inesperado cuando su aterrorizada vecina llama a la puerta de su apartamento. Sophie, superviviente del Holocausto, cree haber visto a La Sombra. A la mañana siguiente, aparece estrangulada, con los ojos desorbitados de terror.La policía supone que se trata de un asesinato más, pero Winter sabe la terrible verdad: un escurridizo asesino está eliminando a los supervivientes del Holocausto que viven en Miami.Tras años de retiro, Simon debe vérselas con un experto y sádico exterminador que pretende mantener su historia oculta para siempre.AdquieraLA SOMBRAen nuestros locales y en nuestra tienda virtual.No olvide aprovechar nuestras grandes promociones en este enlace deOfertasSíguenos en nuestras redes socialesInstagram,FacebookyTwitter.;https://feriachilenadellibro.cl/producto/9789566355182-la-sombra/;641,25
la edad de hierro;contemporanea;literatura contemporanea;5;11000,0;8250,0;0,25;coetzee, j.m.;debolsillo;rustico/bolsillo;0,205;19,0;13,0;1,0;2023,0;224,0;LA EDAD DE HIERRO«Este hombre es una de las voces más importantes de la actual Sudáfrica. Gran literatura. Para mí ha sido el descubrimiento del año. Libro triste donde los haya, ideal para pasar una buena gripe, su lectura te hunde de tal modo que una vez tocado fondo solo puedes tirar para arriba. En serio, Coetzee es un escritor fuera de serie, y la novela nos da unavisión estremecedora y cotidiana de Sudáfrica. Ese país donde todos sabemos que las cosas están mal, pero que parece importarnos tan poco». Pedro Almodóvar, cineasta«La edad de hierro es una novela de una belleza rara, diría incluso que existe la extraña necesidad de esta novela». Jordi Llovet, diario El PaísAdquieraLA EDAD DE HIERROen nuestros locales y en nuestra tienda virtual.No olvide aprovechar nuestras grandes promociones en este enlace deOfertasSíguenos en nuestras redes socialesInstagram,FacebookyTwitter.;https://feriachilenadellibro.cl/producto/9789563255720-la-edad-de-hierro/;247,0
julio cesar : un dictador democratico;biografias historicas;ensayos y biografias;2;24900,0;19900,0;0,2;canfora, luciano;ariel;rustico;0,641;23,0;14,5;2,5;2025,0;480,0;JULIO CESAR : UN DICTADOR DEMOCRATICOCada época ha construido su propia imagen del gran gobernante romano. Esta es, sin duda, la de nuestro tiempo.Julio César es sin duda uno de los grandes personajes de la historia universal. Conquistador de territorios, forjador de un imperio, líder político y «dictador democrático» que, tras su asesinato, su figura fue elevada a arquetipo hasta convertirse en uno de esos extraños personajes que hacen la historia. Luciano Canfora, uno de los grandes historiadores del siglo XX, traza en este libro un completo perfil de César. El resultado es un retrato en claroscuro, en el que aparecen los grandes logros y los grandes fracasos del emperador. Porque ¿quién fue en realidad Julio César. Esta biografía responde a este y otros muchos enigmas entorno a la fascinante figura del emperador romano.AdquieraJULIO CESAR : UN DICTADOR DEMOCRATICOen nuestros locales y en nuestra tienda virtual.No olvide aprovechar nuestras grandes promociones en este enlace deOfertasSíguenos en nuestras redes socialesInstagram,FacebookyTwitter.;https://feriachilenadellibro.cl/producto/9789569948909-julio-cesar-un-dictador-democratico/;833,75
el cuadrante del flujo de dinero;economia y negocios;economia y negocios;5;13000,0;9750,0;0,25;kiyosaki, robert t.;debolsillo;rustico/bolsillo;0,25;19,0;12,5;2,3;2017,0;360,0;"EL CUADRANTE DEL FLUJO DE DINEROUn libro para todos aquellos que no desean seguir atados a la seguridad laboral; para las personas que están listas para realizar cambios trascendentales en el mundo en el que vivimos, donde la información es indispensable para conquistar la libertad financiera.De Robert T. Kiyosaki, autor de Padre Rico, Padre Pobre, el libro #1 de finanzas personales.Este libro te revelará por qué algunas personas trabajan menos, ganan más, pagan menos impuestos y se sienten más seguras financieramente que las demás.La respuesta es sencilla: se trata de saber en qué sección del cuadrante del flujo de dinero trabajar y cuándo hacerlo.El cuadrante del flujo de dinero ha sido escrito para todos aquellos que no desean seguir atados a la seguridad laboral; para las personas que están listas para realizar cambios trascendentales en el mundo en el que vivimos, donde la información es indispensable para conquistar la libertad financiera.“Este libro trata de las buenas opciones, de las nuevas direcciones y del nuevo futuro financiero que están a tu disposición” -Robert T. Kiyosaki-“Muchas personas no emprenderán el camino hasta que éste parezca libre de riesgos. Por eso jamás van a ninguna parte” -Keith Cunningham, cofundador de Prime Cable-AdquieraEL CUADRANTE DEL FLUJO DE DINEROen nuestros locales y en nuestra tienda virtual.No olvide aprovechar nuestras grandes promociones en este enlace deOfertasSíguenos en nuestras redes socialesInstagram,FacebookyTwitter.";https://feriachilenadellibro.cl/producto/9786073155441-el-cuadrante-del-flujo-de-dinero/;546,25
