titulo,categoria,macrocategoria,disponibles,precio_original,precio_oferta,autor,editorial,encuadernacion,peso,dimensiones,ano_edicion,paginas,idioma,info_adicional,descripcion,link,fecha_extraccion
"GENERAL SCHNEIDER : UN HOMBRE DE HONOR, UN CRIMEN IMPUNE",Historia Política de Chile,Política,10,$19.000,$20.000,"SCHNEIDER ARCE, VICTOR",ENTRE ZORROS Y ERIZOS,Rustico,"0,275 kg",23 × 15 × 1 cm,2025.0,172.0,Español,"['0,275 kg', '23 × 15 × 1 cm', 'SCHNEIDER ARCE, VICTOR', 'Rustico', 'ENTRE ZORROS Y ERIZOS', '2025', '172', 'Español']","
GENERAL SCHNEIDER : UN HOMBRE DE HONOR, UN CRIMEN IMPUNE
El atentado contra el General René Schneider Chereau, Comandante en Jefe del Ejército, fue uno de los primeros crímenes políticos en el contexto de la crisis de la democracia chilena entre los años 1970 y 1989. Su asesinato, consumado el 25 de octubre de 1970, fue el resultado de una operación planificada con el fin de impedir el advenimiento del gobierno socialista de Salvador Allende. No se trató de la ejecución alevosa de un extremista ni del ajusticiamiento de un tirano, sino del homicidio de un hombre respetuoso por las leyes y por su propio deber ser militar, que, desde su alto mando y consciente de vivir una encrucijada histórica, defendió hasta las últimas consecuencias el orden constitucional y la no deliberación política de las Fuerzas Armadas, lo que hizo que, tras su muerte, se le honrara llamando a aquella inveterada doctrina militar chilena como «doctrina Schneider». Este libro, escrito por Víctor Schneider Arce, hijo menor del general, testigo privilegiado, entrega un pormenorizado y sentido perfil humano de su padre, narra paso a paso la brillante carrera militar que lo condujo hasta la Comandancia en Jefe del Ejército y aporta antecedentes sobre su trágico deceso, que aún permanece en la memoria nacional. Fruto de un duelo inacabado, esta obra es una búsqueda filial de la justicia que nunca llegó, y la reivindicación de René Schneider como referente moral entre los héroes nacionales.
Adquiera GENERAL SCHNEIDER : UN HOMBRE DE HONOR, UN CRIMEN IMPUNE en nuestros locales y en nuestra tienda virtual.No olvide aprovechar nuestras grandes promociones en este enlace de OfertasSíguenos en nuestras redes sociales Instagram, Facebook y Twitter. 
",https://feriachilenadellibro.cl/producto/9789566239116-general-schneider-un-hombre-de-honor-un-crimen-impune/,2025_09_16
SAPIENS: DE ANIMALES A DIOSES,Historia,Historia,10,$16.000,$12.000,"HARARI, YUVAL NOAH",DEBOLSILLO,Rustico/Bolsillo,"0,330 kg","19 × 12,5 × 3 cm",2024.0,493.0,Español,"['0,330 kg', '19 × 12,5 × 3 cm', 'HARARI, YUVAL NOAH', 'Rustico/Bolsillo', 'DEBOLSILLO', '2024', '493', 'Español']","
SAPIENS: DE ANIMALES A DIOSES


De la mano de uno de los historiadores más interesantes de la actualidad, he aquí la fascinante interpretación de Yuval Noah Harari sobre la historia de la humanidad. Bestseller nacional e internacional, este libro explora las formas en que la biología y la historia nos han definido y han mejorado nuestra comprensión de lo que significa ser «humano».
Hace 70.000 años al menos seis especies de humanos habitaban la Tierra. Hoy solo queda una, la nuestra: Homo Sapiens. ¿Cómo logró imponerse en la lucha por la existencia? ¿Por qué nuestros ancestros recolectores se unieron para crear ciudades y reinos? ¿Cómo llegamos a creer en dioses, en naciones o en los derechos humanos; a confiar en el dinero, en los libros o en las leyes? ¿Cómo acabamos sometidos a la burocracia, a los horarios y al consumismo? ¿Y cómo será el mundo en los milenios venideros?
En Sapiens, Yuval Noah Harari traza una breve historia de la humanidad, desde los primeros humanos que caminaron sobrela Tierra hasta los radicales y a veces devastadores avances de las tres grandes revoluciones que nuestra especie ha protagonizado: la cognitiva, la agrícola y la científica. A partir de hallazgos de disciplinas tan diversas como la biología, la antropología o la economía, Harari explora cómo las grandes corrientes de la historia han modelado nuestra sociedad, los animales y las plantas que nos rodean e incluso nuestras personalidades. ¿Hemos ganado en felicidad a medida que ha avanzado la historia? ¿Seremos capaces de liberar alguna vez nuestra conducta de la herencia del pasado? ¿Podemos hacer algo para influir en los siglos futuros?
Audaz, ambicioso y provocador, este libro cuestiona todo lo que creíamos saber sobre el ser humano: nuestros orígenes, nuestras ideas, nuestras acciones, nuestro poder… y nuestro futuro.
Adquiera SAPIENS: DE ANIMALES A DIOSES en nuestros locales y en nuestra tienda virtual.No olvide aprovechar nuestras grandes promociones en este enlace de OfertasSíguenos en nuestras redes sociales Instagram, Facebook y Twitter. 
",https://feriachilenadellibro.cl/producto/9786287641549-sapiens-de-animales-a-dioses/,2025_09_16
LA MAGIA DE SER SOFIA (SOFIA 1),Novela Romántica,Literatura,10,$22.000,$16.500,"BENAVENT, ELISABET",SUMA DE LETRAS,Rustico,"0,605 kg","23 × 15 × 2,5 cm",2025.0,528.0,Español,"['0,605 kg', '23 × 15 × 2,5 cm', 'BENAVENT,\xa0ELISABET', 'Rustico', 'SUMA DE LETRAS', '2025', '528', 'Español']","
LA MAGIA DE SER SOFIA (SOFIA 1)


Sofía tiene tres amores: su gata Holly, los libros y El café de Alejandría. Sofía trabaja allí como camarera y es feliz. Sofía no tiene pareja y tampoco la busca, aunque desearíaencontrar la magia. Sofía experimenta un chispazo cuando él cruzapor primera vez la puerta. Él aparece por casualidad guiado por el aroma de laspartículas de café… o tal vez por el destino… Él se llama Héctor y está a punto de descubrir dónde reside la magia. Después del éxito arrollador de sus anteriores libros, Elísabet Benavent, @BetaCoqueta, regresa con La magia de ser Sofía, la primera parte de una saga que nos cuenta, con frescura y humor, lo que sucede cuando dos personas cargadas con el peso de las circunstancias se encuentran y descubren que la magia solo existe cuando se miran a los ojos.
Adquiera LA MAGIA DE SER SOFIA (SOFIA 1) en nuestros locales y en nuestra tienda virtual.No olvide aprovechar nuestras grandes promociones en este enlace de OfertasSíguenos en nuestras redes sociales Instagram, Facebook y Twitter. 
",https://feriachilenadellibro.cl/producto/9789877390889-la-magia-de-ser-sofia-sofia-1/,2025_09_16
CUENTOS COMPLETOS 2 – CORTAZAR,Contemporanea,Literatura,10,$19.000,$14.250,"CORTÁZAR, JULIO",DEBOLSILLO,Rustico/Bolsillo,"0,585 kg","19 × 12,5 × 4 cm",2025.0,799.0,Español,"['0,585 kg', '19 × 12,5 × 4 cm', 'CORTAZAR, JULIO', 'Rustico/Bolsillo', 'DEBOLSILLO', '2025', '799', 'Español']","
CUENTOS COMPLETOS 2 – CORTAZAR


En este volumen, los lectores y lectoras encontrarán todas las colecciones de cuentos de Cortázar publicadas entre 1969 y 1982 y, como novedad, aquellos relatos aparecidos póstumamente en Papeles inesperados (2009) que por título o fecha pudieron pertenecer a ellas: Último round, Octaedro, Alguien que anda por ahí, Un tal Lucas, Queremos tanto a Glenda y Deshoras conforman este segundo volumen de los cuentos completos cortazarianos. La verdadera revolución de Cortázar está en sus cuentos.
Adquiera CUENTOS COMPLETOS 2 – CORTAZAR en nuestros locales y en nuestra tienda virtual.No olvide aprovechar nuestras grandes promociones en este enlace de OfertasSíguenos en nuestras redes sociales Instagram, Facebook y Twitter. 
",https://feriachilenadellibro.cl/producto/9788466331920-cuentos-completos-2-cortazar/,2025_09_16
FICCIONES,Contemporanea,Literatura,9,$12.000,$9.000,"BORGES, JORGE LUIS",DEBOLSILLO,Rustico/Bolsillo,"0,173 kg","19 × 12,5 × 1,5 cm",2011.0,224.0,Español,"['0,173 kg', '19 × 12,5 × 1,5 cm', 'Español', '224', '2011', 'DEBOLSILLO', 'Rustico/Bolsillo', 'BORGES, JORGE LUIS']","
FICCIONES


Pensé en un laberinto, en un sinuoso laberinto creciente que abarcara el pasado y el porvenir y que implicara de algún modo los astros.
Ficciones es posiblemente la obra más reconocida de Jorge Luis Borges y un hito en la historia de la literatura. Aquíse encuentran lo policiaco («La muerte y la brújula») y lo fantástico («La lotería en Babilonia»), lo irreal («Las ruinas circulares») y lo imaginario («Tlön, Uqbar, Orbis Tertius»), el que Borges consideró acaso su mejor cuento («El Sur») y uno de los comienzos más cautivadores de un relato jamás escrito («Nadie lo vio desembarcar en la unánime noche»). Cada uno de los dieciséis cuentos reunidos en este libro es, en sí, pieza fundacional y celebración del universo borgeano.
Para algunos críticos como Ricardo Piglia, la influencia de Borges es superior a la del Premio Nobel García Márquez, quien, por otra parte, confesó siempre su rendida admiración. Ficciones cambió el modo de escribir y de leer de las generaciones futuras.
Ficciones de Jorge Luis Borges es considerado…
Uno de los 100 mejores librosdel siglo XX (Le Monde)
Uno de los 100 mejores libros de todos los tiempos (Club de Libros de Noruega)
Una de las 100 mejores novelas (sic) en español del siglo XX (El Mundo)

Adquiera FICCIONES en nuestros locales y en nuestra tienda virtual.No olvide aprovechar nuestras grandes promociones en este enlace de OfertasSíguenos en nuestras redes sociales Instagram, Facebook y Twitter. 
",https://feriachilenadellibro.cl/producto/9789588611594-ficciones/,2025_09_16
TRIUNFO. UNA GUIA PARA ALCANZAR LA PLENITUD,Crecimiento Personal,Autoayuda,5,$12.000,$9.000,"SHARMA, ROBIN",DEBOLSILLO,Rustico/Bolsillo,"0,190 kg",19 × 13 × 1 cm,2023.0,208.0,Español,"['0,190 kg', '19 × 13 × 1 cm', 'Español', '208', '2023', 'DEBOLSILLO', 'Rustico/Bolsillo', 'SHARMA, ROBIN']","
TRIUNFO. UNA GUIA PARA ALCANZAR LA PLENITUD

 ¿Estás listo para llevar tu vida personal y profesional a un nuevo nivel? ¿Sientes que ya es hora de tomar conciencia de lo que puedes llegar a ser, y experimentar el éxito que estás esperando? ¿Cansado de conformarte con poco? Si has respondido afirmativamente a estas preguntas, este libro es para ti.
Conjugando la búsqueda de la excelencia, la maestría en los negocios y una gran capacidad inspiracional, “Triunfo, una guía para alcanzar la plenitud” resume el pensamiento de Robin Sharma en 101 sencillas pero poderosas lecciones que te ayudarán a brillar en el trabajo y a vivir espléndidamente. Entrar en primera clase es solo cuestión de un paso. Comienza hoy. 
Adquiera TRIUNFO. UNA GUIA PARA ALCANZAR LA PLENITUD en nuestros locales y en nuestra tienda virtual.No olvide aprovechar nuestras grandes promociones en este enlace de OfertasSíguenos en nuestras redes sociales Instagram, Facebook y Twitter. 
",https://feriachilenadellibro.cl/producto/9789563255768-triunfo-una-guia-para-alcanzar-la-plenitud/,2025_09_16
LOS DONES DE LA IMPERFECCION,Autoayuda,Autoayuda,6,$17.900,$17.010,"BROWN, BRENE",PLANETA EDITORIAL,Rustico,"0,256 kg","23 × 15 × 1,4 cm",2025.0,240.0,Español,"['0,256 kg', '23 × 15 × 1,4 cm', '240', 'Rustico', 'PLANETA EDITORIAL', '2025', 'BROWN, BRENE', 'Español']","
LOS DONES DE LA IMPERFECCION


Los dones de la imperfección es el libro más emblemático de Brené Brown, con más de dos millones de ejemplares vendidos y traducido a 35 idiomas. Sus diez claves para vivir con el corazón por delante nos ayudan a transformar nuestras relaciones y liberarnos de expectativas que nos sabotean.
Esta edición especial por el 10.º aniversario incluye contenido inédito y reafirma la vigencia de un mensaje que ha inspirado a millones de personas en todo el mundo.  
Adquiera LOS DONES DE LA IMPERFECCION en nuestros locales y en nuestra tienda virtual.No olvide aprovechar nuestras grandes promociones en este enlace de OfertasSíguenos en nuestras redes sociales Instagram, Facebook y Twitter. 
",https://feriachilenadellibro.cl/producto/9789564088334-los-dones-de-la-imperfeccion/,2025_09_16
LAS SIETE HERMANAS (LAS SIETE HERMANAS 1),Novela Romántica,Literatura,5,$15.000,$11.250,"RILEY, LUCINDA",DEBOLSILLO,Empastado/Bolsillo,"0,420 kg","21,3 × 13,7 × 1 cm",2025.0,560.0,Español,"['0,420 kg', '21,3 × 13,7 × 1 cm', 'Español', '560', '2025', 'DEBOLSILLO', 'Empastado/Bolsillo', 'RILEY, LUCINDA']","
LAS SIETE HERMANAS (LAS SIETE HERMANAS 1)
 Lucinda Riley, autora superventas mundial, presenta una nueva y emocionante serie basada en la mitología griega y en la astrología que hará las delicias de sus lectoras. 
 A la muerte de su padre seis hermanas irán en busca de su origen y lo que descubran les hará comprender que su amor estaba escrito en las estrellas.
Maia D’Apliese y sus hermanas regresan a la impresionante mansión familiar donde crecieron al descubrir que su adorado padre, que las adoptó en distintos lugares cuando no eran más que bebés, acaba de fallecer. Cada una recibe un sobre que contiene una prometedora pista sobre su origen. A Maia, la mayor de las hermanas y nuestra protagonista, la suya le lleva a una casa en ruinas en Río de Janeiro. Allí comenzará a recomponer las piezas de su historia.
Ochenta años antes, en la Belle Époque de Río de Janeiro, el padre de Izabela Bonifacio aspira a que su hija se case con un aristócrata. Por su lado, el arquitecto Heitor da Silva Costa trabaja en la concepción de una inmensa estatua que se llamará el Cristo Redentor, y su búsqueda del escultor idóneo para llevar a cabo tan ambiciosa obra lo conduce hasta París. Apasionada y deseosa de conocer mundo, Izabela convence a su padre para que la deje acompañarlo a París antes de casarse. Allí, entre el estudio de Paul Landowski y los bulliciosos cafés de Montparnasse, Izabela conocerá al ambicioso y joven escultor Laurent Brouilly, y sabrá desde el primer instante que su vida ha cambiado para siempre.  
Adquiera LAS SIETE HERMANAS (LAS SIETE HERMANAS 1) en nuestros locales y en nuestra tienda virtual.No olvide aprovechar nuestras grandes promociones en este enlace de OfertasSíguenos en nuestras redes sociales Instagram, Facebook y Twitter. 
",https://feriachilenadellibro.cl/producto/9788466379939-las-siete-hermanas-las-siete-hermanas-1/,2025_09_16
EL TDAH ES GENIAL,"Salud, Bienestar, Midfuldness",Hogar y Familia,6,$19.900,$18.910,"HOLDERNESS, PENN Y KIM",DIANA,Rustico,"0,462 kg","23 × 15 × 1,5 cm",2025.0,320.0,Español,"['0,462 kg', '23 × 15 × 1,5 cm', 'DIANA', 'Rustico', '320', 'HOLDERNESS, PENN Y KIM', '2025', 'Español']","
EL TDAH ES GENIAL

Convertido en best seller del New York Times, este libro le da la vuelta a la narrativa del TDAH en adultos y lo convierte en un superpoder cotidiano   

Este libro te invita a ver el TDAH en la adultez con una mirada positiva, honesta y, sobre todo, con mucho humor. A través de su propia experiencia, los autores cuentan cómo lograron convertir el diagnóstico en una ventaja, sacando partido a habilidades como la creatividad, la energía y la capacidad de hiperconcentrarse.
Los Holderness presentan el TDAH no solo como un reto, sino como un conjunto de capacidades únicas. Con anécdotas divertidas y herramientas prácticas, este libro es una guía para aprovechar al máximo el potencial del TDAH y vivir plenamente, ya sea que lo tengas o quieras apoyar a alguien que lo tiene.   
Adquiera EL TDAH ES GENIAL en nuestros locales y en nuestra tienda virtual.No olvide aprovechar nuestras grandes promociones en este enlace de OfertasSíguenos en nuestras redes sociales Instagram, Facebook y Twitter. 
",https://feriachilenadellibro.cl/producto/9789566433033-el-tdah-es-genial/,2025_09_16
EL SEÑOR DE LOS ANILLOS. EDICION ILUSTRADA POR EL AUTOR,Narrativa Fantástica,Literatura,5,$74.900,$71.160,"TOLKIEN, J. R. R.",MINOTAURO,Tapa Dura,"2,392 kg","24,5 × 16,5 × 7,5 cm",2025.0,1416.0,Español,"['2,392 kg', '24,5 × 16,5 × 7,5 cm', 'TOLKIEN, J. R. R.', 'MINOTAURO', '1416', 'Tapa Dura', '2025', 'Español']","
EL SEÑOR DE LOS ANILLOS. EDICION ILUSTRADA POR EL AUTOR
 Por primera vez, una edición muy especial de la obra maestra de J. R. R. Tolkien, El Señor de los Anillos, completamente ilustrada por el propio autor. 
 Desde su publicación en 1954, El Señor de los Anillos ha sido un libro muy querido por los lectores. Repleto de una magia y un estilo únicos, la majestuosa fantasía y la épica aventura de Tolkien han tocado el corazón de jóvenes y mayores por igual. Sus diversas ediciones han vendido más de 150 millones de ejemplares en todo el mundo, y las ediciones especiales para coleccionistas suelen convertirse en piezas muy valiosas y buscadas.
Esta edición en un único volumen y en tapa dura con sobrecubierta, incluye el texto completo, totalmente corregido y revisado, impreso en tinta roja y negra, y presenta, por primera vez, treinta ilustraciones a color, mapas y bocetos realizados por el propio Tolkien mientras componía esta obra épica. Entre ellos se encuentran las páginas del Libro de Mazarbul, maravillosas reproducciones creadas por Tolkien para acompañar el famoso capítulo de «El Puente de Khazad-dûm». Además, incluye dos mapas desplegables extraíbles, dibujados por Christopher Tolkien, que muestran con todo detalle el mundo de la Tierra Media. 
Adquiera EL SEÑOR DE LOS ANILLOS. EDICION ILUSTRADA POR EL AUTOR en nuestros locales y en nuestra tienda virtual.No olvide aprovechar nuestras grandes promociones en este enlace de OfertasSíguenos en nuestras redes sociales Instagram, Facebook y Twitter. 
",https://feriachilenadellibro.cl/producto/9788445019580-el-senor-de-los-anillos-edicion-ilustrada-por-el-autor/,2025_09_16
